NO;nama provinsi;nama kabupaten kota;jenis tempat hiburan;jumlah tempat hiburan;tahun
81;JAWA BARAT;KABUPATEN BANDUNG BARAT;NIGHT CLUB;0;2014
82;JAWA BARAT;KABUPATEN BANDUNG BARAT;PUB;0;2014
83;JAWA BARAT;KABUPATEN BANDUNG BARAT;DISKOTIK;0;2014
84;JAWA BARAT;KABUPATEN BANDUNG BARAT;KARAOKE/BAR;2;2014
85;JAWA BARAT;KABUPATEN BANDUNG BARAT;PANTI PIJAT;0;2014
86;JAWA BARAT;KABUPATEN PANGANDARAN;NIGHT CLUB;0;2014
87;JAWA BARAT;KABUPATEN PANGANDARAN;PUB;0;2014
88;JAWA BARAT;KABUPATEN PANGANDARAN;DISKOTIK;0;2014
89;JAWA BARAT;KABUPATEN PANGANDARAN;KARAOKE/BAR;0;2014
90;JAWA BARAT;KABUPATEN PANGANDARAN;PANTI PIJAT;0;2014
91;JAWA BARAT;KOTA BOGOR;NIGHT CLUB;0;2014
92;JAWA BARAT;KOTA BOGOR;PUB;0;2014
93;JAWA BARAT;KOTA BOGOR;DISKOTIK;0;2014
94;JAWA BARAT;KOTA BOGOR;KARAOKE/BAR;0;2014
95;JAWA BARAT;KOTA BOGOR;PANTI PIJAT;0;2014
96;JAWA BARAT;KOTA SUKABUMI;NIGHT CLUB;0;2014
97;JAWA BARAT;KOTA SUKABUMI;PUB;0;2014
98;JAWA BARAT;KOTA SUKABUMI;DISKOTIK;1;2014
99;JAWA BARAT;KOTA SUKABUMI;KARAOKE/BAR;11;2014
100;JAWA BARAT;KOTA SUKABUMI;PANTI PIJAT;0;2014
101;JAWA BARAT;KOTA BANDUNG;NIGHT CLUB;12;2014
102;JAWA BARAT;KOTA BANDUNG;PUB;19;2014
103;JAWA BARAT;KOTA BANDUNG;DISKOTIK;3;2014
104;JAWA BARAT;KOTA BANDUNG;KARAOKE/BAR;56;2014
105;JAWA BARAT;KOTA BANDUNG;PANTI PIJAT;29;2014
106;JAWA BARAT;KOTA CIREBON;NIGHT CLUB;1;2014
107;JAWA BARAT;KOTA CIREBON;PUB;0;2014
108;JAWA BARAT;KOTA CIREBON;DISKOTIK;0;2014
109;JAWA BARAT;KOTA CIREBON;KARAOKE/BAR;2;2014
110;JAWA BARAT;KOTA CIREBON;PANTI PIJAT;0;2014
111;JAWA BARAT;KOTA BEKASI;NIGHT CLUB;0;2014
112;JAWA BARAT;KOTA BEKASI;PUB;0;2014
113;JAWA BARAT;KOTA BEKASI;DISKOTIK;1;2014
114;JAWA BARAT;KOTA BEKASI;KARAOKE/BAR;3;2014
115;JAWA BARAT;KOTA BEKASI;PANTI PIJAT;0;2014
116;JAWA BARAT;KOTA DEPOK;NIGHT CLUB;0;2014
117;JAWA BARAT;KOTA DEPOK;PUB;0;2014
118;JAWA BARAT;KOTA DEPOK;DISKOTIK;0;2014
119;JAWA BARAT;KOTA DEPOK;KARAOKE/BAR;0;2014
120;JAWA BARAT;KOTA DEPOK;PANTI PIJAT;0;2014
121;JAWA BARAT;KOTA CIMAHI;NIGHT CLUB;0;2014
122;JAWA BARAT;KOTA CIMAHI;PUB;0;2014
123;JAWA BARAT;KOTA CIMAHI;DISKOTIK;0;2014
124;JAWA BARAT;KOTA CIMAHI;KARAOKE/BAR;0;2014
125;JAWA BARAT;KOTA CIMAHI;PANTI PIJAT;0;2014
126;JAWA BARAT;KOTA TASIKMALAYA;NIGHT CLUB;0;2014
127;JAWA BARAT;KOTA TASIKMALAYA;PUB;0;2014
128;JAWA BARAT;KOTA TASIKMALAYA;DISKOTIK;0;2014
129;JAWA BARAT;KOTA TASIKMALAYA;KARAOKE/BAR;5;2014
130;JAWA BARAT;KOTA TASIKMALAYA;PANTI PIJAT;0;2014
131;JAWA BARAT;KOTA BANJAR;NIGHT CLUB;0;2014
132;JAWA BARAT;KOTA BANJAR;PUB;0;2014
133;JAWA BARAT;KOTA BANJAR;DISKOTIK;0;2014
134;JAWA BARAT;KOTA BANJAR;KARAOKE/BAR;0;2014
135;JAWA BARAT;KOTA BANJAR;PANTI PIJAT;0;2014
